pt_s,eta_s,phi_s,cha_s,fla_s,event
26.8484,0.9218726,-0.28393516,1,3,2645
155.61256,-0.14032589,0.9825482,1,3,2654
1.0076777,0.18581004,2.2919474,-1,3,2655
39.690258,0.18785925,-2.4701893,1,3,2656
107.68302,0.38437983,2.0314534,1,3,2658
122.04223,0.054473232,1.5895846,-1,3,2662
106.9663,-0.47821492,-0.49736607,1,3,2664
134.42769,-0.4607296,0.42038897,-1,3,2667
17.235645,-1.7623689,0.5969417,1,3,2670
50.44543,0.72152233,-2.11346,1,3,2677
37.643272,0.2630664,-1.0216594,-1,3,2678
61.60486,-0.25024846,-1.6082287,-1,3,2681
80.061714,0.59836257,0.32810158,1,3,2686
103.48711,-0.33127967,-1.0845488,-1,3,2690
16.42076,-0.4045574,2.7976391,-1,3,2693
125.5676,-0.39359596,2.2250602,1,3,2696
130.31943,0.6445261,-0.9586736,-1,3,2700
44.70047,-0.14440814,2.5722082,-1,3,2712
92.6514,0.9567806,1.7292861,-1,3,2718
108.55247,-0.8121434,-0.23543699,1,3,2724
67.31875,0.6307686,-2.307996,1,3,2730
129.82014,-0.26789925,-0.038118035,1,3,2731
130.47537,-0.4331687,-2.8926008,1,3,2734
127.01921,0.15065858,-1.8720239,-1,3,2740
29.48554,0.99027026,-1.0350636,1,3,2743
53.789776,0.2653339,1.2018563,1,3,2744
162.50621,0.037499394,0.059841946,-1,3,2747
30.199797,-1.2007662,0.3397179,1,3,2749
43.240578,1.0563895,-2.498958,1,3,2752
78.440575,0.06719305,-2.6481297,1,3,2755
53.8987,-0.25889546,0.25006032,1,3,2771
118.5872,-0.4842697,1.1008182,1,3,2774
79.81943,-1.0341235,-0.7838696,-1,3,2780
16.505741,-1.7963862,-1.5683696,1,3,2782
50.65265,0.26874536,-2.3889887,1,3,2786
29.218472,1.0027672,-1.4421012,-1,3,2789
82.75598,-1.0373522,1.7634702,-1,3,2790
100.913956,0.012580364,-1.8183373,1,3,2793
28.329445,0.8954732,-1.0539008,-1,3,2794
135.68689,-0.27219424,2.9578195,1,3,2798
160.3971,-0.03697784,1.6176668,1,3,2822
48.304882,0.541613,-1.5136026,-1,3,2826
146.57497,-0.3662746,-0.1510263,-1,3,2831
31.702402,-1.0183618,-0.27414012,1,3,2836
65.00346,-0.37186578,0.6754873,-1,3,2841
53.42369,0.45686406,2.5308676,-1,3,2842
38.941715,-0.41931072,0.5563757,-1,3,2843
139.29886,0.11501541,-1.1156365,-1,3,2847
17.350489,2.692782,-2.2625444,1,3,2848
39.529617,1.0881968,1.6630708,1,3,2849
